cole_cod_dane_establecimiento,cole_nombre_establecimiento,punt_lectura_critica_mean,punt_lectura_critica_count,punt_lectura_critica_std,punt_matematicas_mean,punt_matematicas_count,punt_matematicas_std,punt_c_naturales_mean,punt_c_naturales_count,punt_c_naturales_std,punt_sociales_ciudadanas_mean,punt_sociales_ciudadanas_count,punt_sociales_ciudadanas_std,punt_ingles_mean,punt_ingles_count,punt_ingles_std,punt_global_mean,punt_global_count,punt_global_std
252083000154,INSTITUCION EDUCATIVA AGROAMBIENTAL SANTA ROSA,53.785714285714285,14,13.162759655871627,51.142857142857146,14,12.513728724621075,51.642857142857146,14,9.237108629012427,48.142857142857146,14,9.363243544324247,48.285714285714285,14,10.041671416410958,254.78571428571428,14,48.009900535728555
252083000201,INSTITUCION EDUCATIVA AGROPECUARIA LA ESPERANZA,53.76190476190476,21,10.26111476353696,48.714285714285715,21,10.060531085101108,52.19047619047619,21,11.249973544942439,50.476190476190474,21,10.038022950855648,48.523809523809526,21,13.059935097920846,255.38095238095238,21,45.930900481567086
252110000030,I.E. AGROPECUARIA VERACRUZ,53.8,20,7.0157717060619165,53.0,20,8.335087534664908,53.45,20,7.735597823323711,49.4,20,8.146035522684768,52.7,20,8.535375303930541,262.25,20,30.619696103548847
252110000081,I.E. SAN IGNACIO,49.357142857142854,14,5.300321366993382,45.642857142857146,14,8.445364161726589,49.214285714285715,14,8.011324402451736,49.5,14,7.593012982594337,41.42857142857143,14,5.944801034572929,239.5,14,26.456786245905583
252110000285,INSTITUCION EDUCATIVA SAN ANTONIO DE PADUA,52.57142857142857,7,6.67974906856894,53.142857142857146,7,12.15769401693939,55.57142857142857,7,10.17934416448563,47.42857142857143,7,12.8563491818523,47.42857142857143,7,5.349677337844557,259.0,7,45.533870177411174
252110000633,INSTITUCION EDUCATIVA SANTA ROSA DE LIMA,50.6875,16,5.5343623541169285,52.125,16,8.015609770940697,50.625,16,5.60802995712398,45.875,16,8.349650691296413,46.0,16,8.156796756897485,247.625,16,27.690852882013825
252110000773,INSTITUCION EDUCATIVA SANTA MARIA,58.125,8,4.257346591481601,54.625,8,8.991066995317395,58.5,8,6.117889458675387,54.625,8,6.2777953363991,55.375,8,7.726346392146069,282.0,8,25.684903848647853
252110000838,INSTITUCION EDUCATIVA VILLAMORENO,55.0,10,7.71722460186015,55.5,10,6.996030620605118,53.6,10,6.9314099896373484,50.3,10,8.957306142659933,52.5,10,10.814085465005556,267.6,10,31.634018257425204
252203000307,INSTITUCION EDUCATIVA AGROPECUARIA SAN CARLOS,50.19230769230769,26,10.135163464963872,52.65384615384615,26,12.620435199127826,50.80769230769231,26,8.997862994152468,48.84615384615385,26,9.573681873521002,41.80769230769231,26,6.4250710861078,249.73076923076923,26,43.413875839236184
252203000374,INSTITUCION EDUCATIVA NUESTRA SEÑORA DEL ROSARIO,59.9,20,11.674984503539811,60.35,20,12.35984585153408,61.2,20,8.326242597322857,56.15,20,10.75700506157438,49.65,20,11.74409145956069,293.1,20,46.1255723113831
252207000018,INSTITUCION EDUCATIVA DE DESARROLLO RURAL,57.3,10,14.220876672460573,58.1,10,14.700340132119393,55.9,10,11.059937713306626,55.7,10,18.166207945278817,51.6,10,10.178408519999579,281.9,10,68.49566085202447
